COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
Lassen,2019–2020,Age groups,65+ years,7.3,(4.1–10.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2019–2020,Age groups,65+ years,8.4,(6.8–10.0),,
Madera,2019–2020,Age groups,65+ years,16.2,(9.7–22.8),,
Marin,2019–2020,Age groups,65+ years,12,(8.3–15.6),,
Mariposa,2019–2020,Age groups,65+ years,10.3,(2.6–17.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mendocino,2019–2020,Age groups,65+ years,5.4,(2.5–8.3),,
Merced,2019–2020,Age groups,65+ years,10.2,(6.2–14.2),,
Modoc,2019–2020,Age groups,65+ years,7.3,(4.1–10.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2019–2020,Age groups,65+ years,10.3,(2.6–17.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2019–2020,Age groups,65+ years,12.9,(5.4–20.3),,
Napa,2019–2020,Age groups,65+ years,14.4,(2.5–26.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Nevada,2019–2020,Age groups,65+ years,11.4,(7.1–15.6),,
Orange,2019–2020,Age groups,65+ years,6,(4.2–7.7),,
Placer,2019–2020,Age groups,65+ years,4.7,(2.3–7.1),,
Plumas,2019–2020,Age groups,65+ years,7.3,(4.1–10.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2019–2020,Age groups,65+ years,7.6,(5.6–9.6),,
Sacramento,2019–2020,Age groups,65+ years,11.6,(8.0–15.3),,
San Benito,2019–2020,Age groups,65+ years,9.7,(4.9–14.5),,
San Bernardino,2019–2020,Age groups,65+ years,8.1,(4.8–11.4),,
San Diego,2019–2020,Age groups,65+ years,7.2,(5.6–8.8),,
San Francisco,2019–2020,Age groups,65+ years,10.9,(5.2–16.7),,
San Joaquin,2019–2020,Age groups,65+ years,9.8,(3.0–16.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Luis Obispo,2019–2020,Age groups,65+ years,9.7,(4.6–14.7),,
San Mateo,2019–2020,Age groups,65+ years,8.2,(4.1–12.4),,
Santa Barbara,2019–2020,Age groups,65+ years,6.4,(0.3–12.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2019–2020,Age groups,65+ years,12.7,(8.2–17.3),,
Santa Cruz,2019–2020,Age groups,65+ years,4.4,(2.3–6.4),,
Shasta,2019–2020,Age groups,65+ years,7.5,(4.1–10.9),,
Sierra,2019–2020,Age groups,65+ years,7.3,(4.1–10.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2019–2020,Age groups,65+ years,7.3,(4.1–10.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2019–2020,Age groups,65+ years,23.8,(14.4–33.1),,
Sonoma,2019–2020,Age groups,65+ years,13.3,(6.7–19.9),,
Stanislaus,2019–2020,Age groups,65+ years,7.9,(2.9–12.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sutter,2019–2020,Age groups,65+ years,9.6,(6.1–13.2),,
Tehama,2019–2020,Age groups,65+ years,9.4,(5.9–12.8),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2019–2020,Age groups,65+ years,7.3,(4.1–10.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2019–2020,Age groups,65+ years,13.3,(9.0–17.7),,
Tuolumne,2019–2020,Age groups,65+ years,10.3,(2.6–17.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2019–2020,Age groups,65+ years,7.5,(3.9–11.1),,
Yolo,2019–2020,Age groups,65+ years,14,(7.6–20.3),,
Yuba,2019–2020,Age groups,65+ years,14.4,(7.6–21.1),,
California,2021-2022,Total population,All ages,8.9,(8.6-9.2),,
Alameda,2021-2022,Total population,All ages,9.6,(7.7-11.5),,
Alpine,2021-2022,Total population,All ages,13.9,(9.8-18.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2021-2022,Total population,All ages,13.9,(9.8-18.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2021-2022,Total population,All ages,10.4,(7.3-13.6),,
Calaveras,2021-2022,Total population,All ages,13.9,(9.8-18.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2021-2022,Total population,All ages,11.4,(7.5-15.3),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2021-2022,Total population,All ages,11.1,(8.6-13.6),,
Del Norte,2021-2022,Total population,All ages,9,(3.4-14.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
El Dorado,2021-2022,Total population,All ages,10,(6.5-13.6),,
Fresno,2021-2022,Total population,All ages,13.8,(11.3-16.3),,
Glenn,2021-2022,Total population,All ages,11.4,(7.5-15.3),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2021-2022,Total population,All ages,12.8,(6.7-18.9),,
Imperial,2021-2022,Total population,All ages,11,(7.1-14.9),,
Inyo,2021-2022,Total population,All ages,13.9,(9.8-18.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2021-2022,Total population,All ages,7.9,(5.1-10.8),,
Kings,2021-2022,Total population,All ages,8.7,(6-11.4),,
Lake,2021-2022,Total population,All ages,6.7,(3.9-9.6),,
Lassen,2021-2022,Total population,All ages,9,(3.4-14.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Los Angeles,2021-2022,Total population,All ages,8.1,(7.4-8.7),,
Madera,2021-2022,Total population,All ages,10.6,(6.7-14.4),,
Marin,2021-2022,Total population,All ages,7.4,(4.8-10),,
Mariposa,2021-2022,Total population,All ages,13.9,(9.8-18.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2021-2022,Total population,All ages,13.9,(9-18.8),,
Merced,2021-2022,Total population,All ages,9.2,(6.3-12.2),,
Modoc,2021-2022,Total population,All ages,9,(3.4-14.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2021-2022,Total population,All ages,13.9,(9.8-18.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2021-2022,Total population,All ages,6.6,(2.3-11),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Napa,2021-2022,Total population,All ages,10.8,(6.5-15),,
Nevada,2021-2022,Total population,All ages,9.2,(5.8-12.6),,
Orange,2021-2022,Total population,All ages,6.7,(5.5-7.9),,
Placer,2021-2022,Total population,All ages,10.4,(8.2-12.7),,
Plumas,2021-2022,Total population,All ages,9,(3.4-14.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2021-2022,Total population,All ages,8.3,(7-9.6),,
Sacramento,2021-2022,Total population,All ages,12.2,(10.1-14.4),,
San Benito,2021-2022,Total population,All ages,7.1,(4.2-10.1),,
San Bernardino,2021-2022,Total population,All ages,9.9,(8.4-11.3),,
San Diego,2021-2022,Total population,All ages,8.5,(7.5-9.5),,
San Francisco,2021-2022,Total population,All ages,7.5,(5.4-9.5),,
San Joaquin,2021-2022,Total population,All ages,10.6,(8.3-13),,
San Luis Obispo,2021-2022,Total population,All ages,9,(5.1-12.9),,
San Mateo,2021-2022,Total population,All ages,7.6,(6-9.3),,
Santa Barbara,2021-2022,Total population,All ages,9.8,(7.3-12.4),,
Santa Clara,2021-2022,Total population,All ages,7.4,(6.2-8.6),,
Santa Cruz,2021-2022,Total population,All ages,8.5,(5.1-12),,
Shasta,2021-2022,Total population,All ages,5.7,(3.5-7.8),,
Sierra,2021-2022,Total population,All ages,9,(3.4-14.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2021-2022,Total population,All ages,9,(3.4-14.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2021-2022,Total population,All ages,10.9,(7.5-14.3),,
Sonoma,2021-2022,Total population,All ages,7.8,(5.3-10.3),,
Stanislaus,2021-2022,Total population,All ages,11.5,(7.9-15),,
Sutter,2021-2022,Total population,All ages,7.4,(4.7-10.1),,
Tehama,2021-2022,Total population,All ages,11.4,(7.5-15.3),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2021-2022,Total population,All ages,9,(3.4-14.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2021-2022,Total population,All ages,7.2,(4.5-9.8),,
Tuolumne,2021-2022,Total population,All ages,13.9,(9.8-18.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2021-2022,Total population,All ages,9.9,(7-12.8),,
Yolo,2021-2022,Total population,All ages,14.5,(6.7-22.3),,
Yuba,2021-2022,Total population,All ages,14.1,(9.2-19),,
California,2021-2022,Child vs. adult,0–17 years,6.8,(6.1-7.4),,
Alameda,2021-2022,Child vs. adult,0–17 years,3.8,(1.1-6.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2021-2022,Child vs. adult,0–17 years,14.2,(1.2-27.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Amador,2021-2022,Child vs. adult,0–17 years,14.2,(1.2-27.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Butte,2021-2022,Child vs. adult,0–17 years,7.6,(1-14.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Calaveras,2021-2022,Child vs. adult,0–17 years,14.2,(1.2-27.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Colusa,2021-2022,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2021-2022,Child vs. adult,0–17 years,5.1,(2-8.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Del Norte,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2021-2022,Child vs. adult,0–17 years,2.9,(1.2-4.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2021-2022,Child vs. adult,0–17 years,13.9,(8.7-19.2),,
Glenn,2021-2022,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Imperial,2021-2022,Child vs. adult,0–17 years,10.1,(2.6-17.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2021-2022,Child vs. adult,0–17 years,14.2,(1.2-27.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kern,2021-2022,Child vs. adult,0–17 years,6.6,(1.9-11.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kings,2021-2022,Child vs. adult,0–17 years,6.8,(1.9-11.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Lassen,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2021-2022,Child vs. adult,0–17 years,7.4,(5.9-8.9),,
Madera,2021-2022,Child vs. adult,0–17 years,14.4,(3.8-25),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Marin,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Mariposa,2021-2022,Child vs. adult,0–17 years,14.2,(1.2-27.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mendocino,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Merced,2021-2022,Child vs. adult,0–17 years,4.6,(0.2-9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Modoc,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2021-2022,Child vs. adult,0–17 years,14.2,(1.2-27.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Napa,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Nevada,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Orange,2021-2022,Child vs. adult,0–17 years,8.4,(4.4-12.5),,
Placer,2021-2022,Child vs. adult,0–17 years,4.1,(1-7.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Plumas,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2021-2022,Child vs. adult,0–17 years,4.6,(3-6.2),,
Sacramento,2021-2022,Child vs. adult,0–17 years,6,(2.7-9.3),,
San Benito,2021-2022,Child vs. adult,0–17 years,6.8,(1.2-12.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Bernardino,2021-2022,Child vs. adult,0–17 years,8.3,(4.8-11.8),,
San Diego,2021-2022,Child vs. adult,0–17 years,7.4,(5-9.7),,
San Francisco,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2021-2022,Child vs. adult,0–17 years,13.9,(7.3-20.6),,
San Luis Obispo,2021-2022,Child vs. adult,0–17 years,6.5,(1.2-11.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Mateo,2021-2022,Child vs. adult,0–17 years,2.8,(0.6-5.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2021-2022,Child vs. adult,0–17 years,4.4,(2.2-6.7),,
Santa Cruz,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Shasta,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sierra,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sonoma,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Stanislaus,2021-2022,Child vs. adult,0–17 years,5.2,(0.3-10),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sutter,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Tehama,2021-2022,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2021-2022,Child vs. adult,0–17 years,14.2,(1.2-27.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2021-2022,Child vs. adult,0–17 years,7.8,(1.4-14.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yolo,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Yuba,2021-2022,Child vs. adult,0–17 years,12.7,(2.4-23.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
California,2021-2022,Child vs. adult,18+ years,9.5,(9.1-9.9),,
Alameda,2021-2022,Child vs. adult,18+ years,11.1,(8.8-13.4),,
Alpine,2021-2022,Child vs. adult,18+ years,13.9,(9.4-18.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2021-2022,Child vs. adult,18+ years,13.9,(9.4-18.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2021-2022,Child vs. adult,18+ years,11.2,(7.8-14.5),,
Calaveras,2021-2022,Child vs. adult,18+ years,13.9,(9.4-18.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2021-2022,Child vs. adult,18+ years,14.2,(9.3-19),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2021-2022,Child vs. adult,18+ years,12.6,(9.7-15.6),,
Del Norte,2021-2022,Child vs. adult,18+ years,10.4,(3.4-17.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
El Dorado,2021-2022,Child vs. adult,18+ years,11.6,(7.3-16),,
Fresno,2021-2022,Child vs. adult,18+ years,13.8,(11-16.5),,
Glenn,2021-2022,Child vs. adult,18+ years,14.2,(9.3-19),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2021-2022,Child vs. adult,18+ years,14.9,(7.5-22.3),,
Imperial,2021-2022,Child vs. adult,18+ years,11.4,(6.7-16.2),,
Inyo,2021-2022,Child vs. adult,18+ years,13.9,(9.4-18.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2021-2022,Child vs. adult,18+ years,8.5,(5.5-11.5),,
Kings,2021-2022,Child vs. adult,18+ years,9.6,(6.5-12.6),,
Lake,2021-2022,Child vs. adult,18+ years,7.9,(4.5-11.2),,
Lassen,2021-2022,Child vs. adult,18+ years,10.4,(3.4-17.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Los Angeles,2021-2022,Child vs. adult,18+ years,8.2,(7.5-8.9),,
Madera,2021-2022,Child vs. adult,18+ years,9.2,(6.2-12.2),,
Marin,2021-2022,Child vs. adult,18+ years,8.2,(5.2-11.2),,
Mariposa,2021-2022,Child vs. adult,18+ years,13.9,(9.4-18.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2021-2022,Child vs. adult,18+ years,15.7,(10.4-21),,
Merced,2021-2022,Child vs. adult,18+ years,11,(7.3-14.7),,
Modoc,2021-2022,Child vs. adult,18+ years,10.4,(3.4-17.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2021-2022,Child vs. adult,18+ years,13.9,(9.4-18.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2021-2022,Child vs. adult,18+ years,5.2,(1.5-9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Napa,2021-2022,Child vs. adult,18+ years,12.9,(7.6-18.2),,
Nevada,2021-2022,Child vs. adult,18+ years,10.3,(6.4-14.3),,
Orange,2021-2022,Child vs. adult,18+ years,6.2,(5.2-7.3),,
Placer,2021-2022,Child vs. adult,18+ years,11.9,(9.3-14.4),,
Plumas,2021-2022,Child vs. adult,18+ years,10.4,(3.4-17.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2021-2022,Child vs. adult,18+ years,9.5,(7.8-11.1),,
Sacramento,2021-2022,Child vs. adult,18+ years,14.1,(11.6-16.6),,
San Benito,2021-2022,Child vs. adult,18+ years,7.2,(4.2-10.2),,
San Bernardino,2021-2022,Child vs. adult,18+ years,10.5,(8.8-12.1),,
San Diego,2021-2022,Child vs. adult,18+ years,8.9,(7.9-9.8),,
San Francisco,2021-2022,Child vs. adult,18+ years,8.8,(6.4-11.3),,
San Joaquin,2021-2022,Child vs. adult,18+ years,9.5,(7.2-11.8),,
San Luis Obispo,2021-2022,Child vs. adult,18+ years,9.5,(5-14.1),,
San Mateo,2021-2022,Child vs. adult,18+ years,8.9,(6.9-10.8),,
Santa Barbara,2021-2022,Child vs. adult,18+ years,11.8,(8.7-14.9),,
Santa Clara,2021-2022,Child vs. adult,18+ years,8.2,(6.8-9.6),,
Santa Cruz,2021-2022,Child vs. adult,18+ years,10.3,(6-14.6),,
Shasta,2021-2022,Child vs. adult,18+ years,6.7,(4.2-9.1),,
Sierra,2021-2022,Child vs. adult,18+ years,10.4,(3.4-17.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2021-2022,Child vs. adult,18+ years,10.4,(3.4-17.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2021-2022,Child vs. adult,18+ years,13.4,(9.2-17.5),,
Sonoma,2021-2022,Child vs. adult,18+ years,9.1,(6.3-11.9),,
Stanislaus,2021-2022,Child vs. adult,18+ years,13.6,(9.2-18),,
Sutter,2021-2022,Child vs. adult,18+ years,7.9,(5.1-10.7),,
Tehama,2021-2022,Child vs. adult,18+ years,14.2,(9.3-19),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2021-2022,Child vs. adult,18+ years,10.4,(3.4-17.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2021-2022,Child vs. adult,18+ years,9.4,(5.8-12.9),,
Tuolumne,2021-2022,Child vs. adult,18+ years,13.9,(9.4-18.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2021-2022,Child vs. adult,18+ years,10.5,(7.5-13.5),,
Yolo,2021-2022,Child vs. adult,18+ years,14.9,(6.3-23.4),,
Yuba,2021-2022,Child vs. adult,18+ years,14.6,(9-20.2),,
California,2021-2022,Age groups,0–4 years,2.4,(1.7-3.1),,
Alameda,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Alpine,2021-2022,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2021-2022,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Calaveras,2021-2022,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Colusa,2021-2022,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Del Norte,2021-2022,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Fresno,2021-2022,Age groups,0–4 years,15.9,(6.3-25.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Glenn,2021-2022,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Imperial,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Inyo,2021-2022,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Kings,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Lake,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Lassen,2021-2022,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2021-2022,Age groups,0–4 years,0.8,(0.1-1.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Madera,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Marin,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
